,Bad_ID
1282,362582
1283,362678
1284,322531
1285,192579
1286,012531
1287,192532
1288,502531
1289,102782
1290,25A414
1291,672655
1292,332404
1293,332648
1294,232737
1295,392765
1296,232698
1297,012657
1298,262654
1299,392843
1300,682601
1301,221605
1302,A01727
1303,332741
1304,742528
1305,332799
1306,A01642
1307,192751
1308,A01703
1309,162567
1310,442764
1311,492615
1312,112714
1313,042501
1314,433506
1315,332645
1316,362627
1317,192603
1318,512515
1319,192577
1320,452735
1321,332536
1322,552618
1323,112317
1324,242571
1325,21005F
1326,182604
1327,442692
1328,102593
1329,062315
1330,132523
1331,152672
1332,212685
1333,452655
1334,212649
1335,372539
1336,332792
1337,742546
1338,072553
1339,232728
1340,342727
1341,A01617
1342,A01773
1343,192755
1344,A11541
1345,212741
1346,A11643
1347,A11632
1348,102624
1349,052853
1350,442651
1351,112640
1352,032572
1353,332666
1354,192584
1355,192507
1356,452899
1357,34017F
1358,452828
1359,192601
1360,382512
1361,182552
1362,322508
1363,502510
1364,332688
1365,262637
1366,45068F
1367,502574
1368,A01589
1369,192738
1370,142752
1371,A11733
1372,852528
1373,382583
1374,392884
1375,082531
1376,392854
1377,102695
1378,A11591
1379,A11502
1380,052778
1381,17E531
1382,012703
1383,262537
1384,262688
1385,272514
1386,332684
1387,422664
1388,852512
1389,232543
1390,032535
1391,182640
1392,182642
1393,262543
1394,232521
1395,512534
1396,682520
1397,26023F
1398,522528
1399,552726
1400,332659
1401,192632
1402,682621
1403,152670
1404,260825
1405,332802
1406,672777
1407,682657
1408,362323
1409,442725
1410,382570
1411,672857
1412,262695
1413,672882
1414,422669
1415,A11540
1416,A11647
1417,291582
1418,A01750
1419,112532
1420,05A134
1421,182592
1422,422623
1423,102805
1424,522503
1425,06A175
1426,412508
1427,252537
1428,382510
1429,672892
1430,742538
1431,042543
1432,492552
1433,232502
1434,212678
1435,112588
1436,132522
1437,552538
1438,262673
1439,502580
1440,312642
1441,232720
1442,342717
1443,222594
1444,A01646
1445,A11676
1446,A11506
1447,A01799
1448,241610
1449,A11633
1450,112633
1451,452660
1452,282521
1453,282520
1454,172307
1455,392893
1456,252538
1457,062523
1458,332676
1459,502545
1460,422626
1461,332589
1462,442699
1463,392542
1464,502558
1465,292533
1466,102756
1467,142714
1468,392354
1469,332696
1470,212671
1471,672707
1472,522588
1473,332753
1474,672825
1475,392842
1476,192728
1477,422655
1478,312668
1479,442732
1480,392881
1481,212737
1482,112821
1483,172566
1484,A11696
1485,031711
1486,A11686
1487,322561
1488,452303
1489,052841
1490,212542
1491,102634
1492,52A429
1493,142526
1494,442504
1495,382551
1496,192522
1497,252507
1498,322504
1499,232577
1500,462534
1501,132510
1502,852558
1503,102872
1504,A11554
1505,362761
1506,112823
1507,052759
1508,452682
1509,672662
1510,192729
1511,682543
1512,222318
1513,072550
1514,552812
1515,672755
1516,221599
1517,552749
1518,442746
1519,291569
1520,452744
1521,442756
1522,382574
1523,A11576
1524,A01789
1525,A11616
1526,672703
1527,452774
1528,342655
1529,232550
1530,372560
1531,052867
1532,422527
1533,242547
1534,102702
1535,112630
1536,232508
1537,552550
1538,132503
1539,462503
1540,462511
1541,212650
1542,322518
1543,21007F
1544,242570
1545,032614
1546,342617
1547,552653
1548,33020F
1549,312619
1550,682522
1551,A11610
1552,362738
1553,142760
1554,A01644
1555,371718
1556,672781
1557,672786
1558,672793
1559,112892
1560,A01569
1561,442722
1562,552741
1563,552884
1564,A01705
1565,143302
1566,852516
1567,852524
1568,312583
1569,152706
1570,A11705
1571,682687
1572,372505
1573,332549
1574,232633
